"","sEVp_2D_S1","sEVp_2D_S2","sEVp_2D_S3","Exomere_2D_S4","Exomere_2D_S5","Exomere_2D_S6","Supermere_2D_S7","Supermere_2D_S8","Supermere_2D_S9","sEVp_3D_S10","sEVp_3D_S11","sEVp_3D_S12","Exomere_3D_S13","Exomere_3D_S14","Exomere_3D_S15","Supermere_3D_S16","Supermere_3D_S17","Supermere_3D_S18","Exomere_FPLC_S19","Exomere_FPLC_S20","Exomere_FPLC_S21","Exomere_FPLC_S22","Supermere_FPLC_S23","Supermere_FPLC_S24","Supermere_FPLC_S25","Supermere_FPLC_S26","sEV_3D_W_S1","sEV_3D_W_S2","sEV_3D_W_S3","sEV_3D_W_S4","hEV_3D_W_S5","hEV_3D_W_S6","hEV_3D_W_S7","hEV_3D_W_S8","NV_3D_W_S9","NV_3D_W_S10","NV_3D_W_S11","NV_3D_W_S12","Supermere_NCB_A","Supermere_NCB_B","Supermere_NCB_C","EV_NCB_A","EV_NCB_B","EV_NCB_C","NV_NCB_A","NV_NCB_B","NV_NCB_C","Exomere_NCB_A","Exomere_NCB_B","Exomere_NCB_C","sEVp_2D_1","sEVp_3D_1_A","sEVp_3D_1_B","sEVp_3D_1_C","Exomere_2D_1","Exomere_3D_1_A","Exomere_3D_1_B","Exomere_3D_1_C","Supermere_2D_1","Supermere_3D_1_A","Supermere_3D_1_B","Supermere_3D_1_C"
"KIF23",2.09004292744215,2.98430258633578,0.862140450894014,1.00220905713425,1.00549035410265,1.87709812403028,1.80504566416493,2.93602000294161,0.913425459870047,0,0,0,0,0,0,0,0,0,0,1.1265237020316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17017575647762,1.4730472641405,2.19065735084318,1.52649690295939,8.67697466467958,5.35712848037571,1.02332496027067,0.913676309044306,0,0.703110140537494,0.85659114315139,0.743325265313722,0,0,0,0,0,0,0,0,0,0,0,0
"KIF5B",25.0805151293058,30.8377933921363,23.2777921741384,39.0861532282358,39.2141238100035,36.6034134185904,21.6605479699792,24.4668333578467,23.7490619566212,41.1194734726688,39.3439061282486,31.5995053178333,22.1844817134775,21.7510215200218,26.3894029929671,17.3009046097178,17.9604118764371,18.7509117029506,73.1296618821692,63.0853273137698,91.7853389385181,58.2355201366159,3.6769202431387,3.96346669314008,1.86560747663551,9.45269914763759,5.05281808977388,8.35859643245959,8.86412078152753,6.38324406427372,0,0,0,0,5.75937680323139,0,5.31186801490154,0,21.7017575647762,22.8322325941778,21.9065735084318,10.6854783207158,4.95827123695976,5.35712848037571,34.7930486492029,32.892347125595,38.9100498767414,36.5617273079497,40.2597837281153,38.6529137963135,50.1972195279664,13.6182832376901,23.7046210219176,19.097823487204,29.0914149443561,10.9275156979552,10.3716660893661,14.2174665083941,9.72838623736964,11.6706509029492,11.018344751453,7.60114926613127
"KIFC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02332496027067,1.82735261808861,2.28882646333773,2.10933042161248,0.85659114315139,1.48665053062744,0,0,0,0,0,0,0,0,0,0,0,0
"KIRREL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2649690295939,13.6352459016393,12.0535390808454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRREL1",7.31515024604753,7.95814023022873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05029990529307,5.05281808977388,1.67171928649192,5.90941385435169,4.78743304820529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7914659325533,26.0309239940388,26.7856424018786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KL",30.3056224479112,29.8430258633578,8.62140450894014,22.0485992569535,20.1098070820531,7.50839249612111,19.8555023058143,18.5947933519635,5.48055275922028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61695959412937,3.68261816035125,5.84175293558181,13.7384721266345,18.5935171385991,21.4285139215029,4.09329984108269,7.30941047235445,3.43323969500659,8.43732168644993,4.28295571575695,5.20327685719605,0.717103136113805,0,0,0,1.32233704292528,0,0,0,1.94567724747393,0,0,0
"KLC1",6.27012878232646,6.96337270145014,6.0349831562581,11.0242996284768,13.0713746033345,11.2625887441817,1.80504566416493,2.93602000294161,1.82685091974009,10.0291398713826,8.23477105009855,5.92490724709374,3.02515659729238,3.26265322800327,4.22230447887473,0,0,0,2.39769383220227,4.50609480812641,7.8673147661587,7.10189269958731,0,0,0,0,0,1.67171928649192,1.47735346358792,0,0,0,0,0,0,0,0,0,0,2.946094528281,2.19065735084318,3.05299380591879,1.23956780923994,2.67856424018786,9.20992464243605,3.65470523617722,5.72206615834432,7.03110140537494,5.99613800205973,7.43325265313722,11.4736501778209,0.801075484570007,4.06364931804302,2.728260498172,2.64467408585056,0,0,0,0.648559082491309,0,0,0
"KLC2",0,0,0,0,0,0.938549062015139,0,0,0,1.00291398713826,1.82994912224412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67856424018786,0,1.82735261808861,2.28882646333773,4.21866084322497,4.28295571575695,5.94660212250977,0,0,0,0,0,0,0,0,0,0,0,0
"KLC4",2.09004292744215,2.98430258633578,3.44856180357606,3.00662717140275,2.01098070820531,1.87709812403028,0,0,0,11.0320538585209,9.14974561122061,5.92490724709374,1.00838553243079,1.08755107600109,1.05557611971868,0,0,0,0,1.1265237020316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4730472641405,0,1.52649690295939,0,0,5.11662480135336,4.56838154522153,2.28882646333773,4.92177098376246,2.56977342945417,5.20327685719605,5.01972195279664,0,2.70909954536201,1.364130249086,1.32233704292528,0,0,0.677022214685433,0,0,0,0
"KLK1",0,0,0,0,0,0,1.80504566416493,3.91469333725548,3.65370183948019,0,0,0,0,0,0,4.32522615242945,3.99120263920824,4.41197922422367,0,0,0,0,6.43461042549272,6.93606671299514,6.5296261682243,9.45269914763759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46043823389545,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32233704292528,1.28559008211238,1.38288881191548,1.35404442937087,3.89135449494785,5.18695595686631,6.48137926556057,8.98317640542786
"KLK10",3.13506439116323,2.98430258633578,0.862140450894014,6.0132543428055,8.04392283282124,8.44694155813625,20.7580251378967,23.4881600235329,20.095360117141,2.00582797427653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73709078636517,5.01515785947576,5.90941385435169,7.97905508034215,3.30825323168711,0,6.24105049241832,2.96084247997627,5.75937680323139,0,10.6237360298031,0,10.1274868635622,9.57480721691326,9.49284852032044,0,0,0,0,0,0,0,0,0,6.45392822502425,1.60215096914001,1.35454977268101,2.728260498172,4.62817965023847,0.642795041056191,0,0,16.862536144774,1.29673898921658,1.29627585311211,2.76405427859319
"KLK11",0,0,0,0,0,0,1.80504566416493,0.97867333431387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLK6",0,0,0,2.0044181142685,1.00549035410265,1.87709812403028,11.7327968170721,13.7014266803942,12.7879564381807,0,0,0,0,0,0,4.32522615242945,3.99120263920824,4.41197922422367,0,0,0,0,8.27307054706207,5.94520003971012,8.39523364485981,9.45269914763759,0,0,0,0,0,0,0,0,0,0,0,0,2.8935676753035,3.68261816035125,5.11153381863409,0,0,0,0,0,0,0,0,0,0.717103136113805,0,0,0,2.64467408585056,0,0,0,8.43126807238702,4.53858646225802,4.5369654858924,4.83709498753808
"KNTC1",6.27012878232646,6.96337270145014,7.75926405804613,0,0,0.938549062015139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919230060784675,0,0.932803738317757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06997488081202,3.65470523617722,5.72206615834432,0,0,0.743325265313722,0,0,0,0,0,0,0,0,0,0,0,0
