protein,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4
G6PD,3.800606572,3.628251645,4.052779486,3.843880539,3.64247482,3.848399125,3.964223206,3.712975173,4.20113292,3.1108756,2.9944429,3.242104959,3.852128841,4.047190029,4.00677851,3.94610422,3.632289151,4.236715467,2.145448836,2.403347751,1.806054709,2.680193992,4.209776525,4.008505655,4.086304413,3.459431619,0,2.064647663,1.931003366,1.333072201,0,0,0,0,0,0,0,0
GAA,2.316116017,2.259576362,3.068269276,4.183948616,3.84826838,3.756000002,4.251363295,4.362321027,3.277509632,5.978823094,5.953751484,5.7952264,5.824905065,5.777269602,5.839992777,5.874138282,5.734731965,5.797244078,5.185248962,5.932252751,4.893058371,5.950841266,4.983324397,5.240051349,5.225481804,2.584962501,2.072868086,1.373875901,2.728226634,2.474606879,4.06601068,0,0,0,0,0,0,0
GAK,0.996370196,1.941625202,1.401468483,0,0,0.921132385,0,0,0,1.950337883,0.903929473,1.526262086,0,0,1.003619168,0,0,0,0,1.05142317,0,0,0,0,0,0,0,1.373875901,1.266997295,0,0,0,0,0,0,0,0,0
GALC,0,0,0.864613417,0,1.543333959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALE,2.993641837,3.388364695,4.12242704,1.949586033,1.953082406,2.451014583,1.442864021,1.924256156,2.825330619,2.941892081,3.403637312,2.922454862,1.546060213,1.618677671,1.589786044,1.021139762,0.963485218,1.632427638,2.145448836,2.669676924,1.168913826,2.338300494,0,0.958592587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALK1,1.58012073,1.533191662,2.919685889,0,0,0,0,0,0,3.399011692,3.517762757,3.242104959,1.546060213,0,1.003619168,0,0,0,2.145448836,2.669676924,1.806054709,2.338300494,0,0,0,0,0,0,1.266997295,0,0,0,0,0,0,0,0,0
GALK2,0,0.961347078,1.791837015,0.966587184,0.968891745,1.880020556,0.894759661,1.51783371,2.163087258,2.268893588,2.421096055,1.526262086,0,0,0,0,0,0,0,0,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALM,0,0,0,0,0,0,2.977170172,3.230546315,3.277509632,0,0,0,0,0,0,3.359759433,3.517296477,3.385643851,0,0,0,0,3.629670641,3.383238525,3.428871228,3.584962501,0,0,0,0,0,0,0,0,0,0,0,0
GALNS,0,0,0,3.109978656,3.402362581,3.176707196,3.605364131,3.606636986,2.992305255,0,0,2.511206051,3.752877906,4.134834924,3.591590723,4.039386317,4.321949729,4.154027448,0,0,0,0,4.570182849,4.504525117,4.590446441,4.857980995,0,0,0,0,0,0,0,2.7307681,0,2.829306972,2.598717113,0
GALNT1,0,0,0,0,0,0,0,0,0.90279184,0,0,0,0,0,0,3.036793753,2.744180469,3.061983348,1.098576504,0,0,3.387705307,3.285708808,3.095469549,3.543195199,3.584962501,0,1.373875901,0,0,0,0,1.989531496,3.617789703,3.581002772,0,0,0
GALNT10,0,0,0,1.540237874,0.968891745,0.921132385,3.385748712,3.230546315,2.163087258,0,0,0,0,0,0,0,0,1.03574445,0,0,0,0,1.858228386,2.2550935,1.873574051,2.807354922,0,0,0,0,0,0,0,0,0,0,0,0
GALNT12,0,0.961347078,1.401468483,0,0,0,3.499731284,3.230546315,2.992305255,0,0,0,0,0,0,0,0.963485218,0,0,0,0,0,2.833183695,2.2550935,2.186666421,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0
GALNT18,0,0,0,0.966587184,1.543333959,0,2.621946525,2.500551849,1.453839514,0,0,0,0,0,0,0,0,1.03574445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALNT2,2.578907744,2.519953374,2.754024153,1.949586033,2.271827737,2.193583806,4.251363295,3.991758476,3.621272161,0,0,1.526262086,1.546060213,1.618677671,1.003619168,3.036793753,3.255521121,3.385643851,2.745703037,1.653127323,1.168913826,2.338300494,3.523873876,3.508117252,3.428871228,3.700439718,2.072868086,0,1.931003366,1.333072201,2.053047961,2.886554086,3.309356743,2.7307681,3.581002772,0,2.598717113,2.600000002
